Codigo,Cargo,Ano,Pergunta,Opcao1,Opcao2,Opcao3,Opcao4,Opcao5,Organizadora,Gabarito,Materia,Assunto1,Assunto2,Assunto3
345,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,"Os adjetivos mostram qualidades, características ou especificações dos substantivos; a alternativa abaixo em que o termo em negrito NÃO funciona como adjetivo é:",<b>difícil </b>aprendizado;,sensação <b>de dificuldade; </b>,trabalho <b>que é difícil; </b>,tarefa <b>dificílima; </b>,acesso <b>difícil. </b>,NCE-UFRJ,B,Português,Emprego das classes de palavras,,
346,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,"Uma antiga revista de humor, Pif-Paf, trazia o seguinte slogan: &quot;Cada número é exemplar, cada exemplar é um número!&quot;; nesta frase, as palavras &quot;número&quot; e &quot;exemplar&quot; trocaram:","função, classe e significado;",somente função e significado;,somente função e classe;,somente classe e significado;,somente classe.,NCE-UFRJ,A,Português,Emprego das classes de palavras,,
349,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,The idea implied in the expression &quot;from welfare to work&quot; (l. 3/4) is one of:,social deterioration;,population control;,environmental concern;,temporary employment;,economic independence.<em> </em>,NCE-UFRJ,E,Inglês,Interpretação de Textos,Significado das Palavras,
350,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,"According to the text, Favela-Bairro adopted the integral approach methodology:",little by little;,all at once;,once in a while;,from the beginning;,off and on.,NCE-UFRJ,A,Inglês,Interpretação de Textos,,
351,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,Those who came to the poll were:,all Brazilian citizens;,the poorest families only;,Rio inhabitants in general;,people in foreign countries;,mostly social workers.,NCE-UFRJ,C,Inglês,Interpretação de Textos,,
352,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,"In relation to Favela-Bairro, the survey indicated that city dwellers have shown to be:",indifferent;,disdainful;,supportive;,defensive;,resentful.,NCE-UFRJ,C,Inglês,Interpretação de Textos,,
353,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,<b>should </b>in &quot;to which the next mayor should give priority&quot; (l. 30/31) expresses a(n):,obligation;,possibility;,prohibition;,recommendation;,permission.,NCE-UFRJ,D,Inglês,Interpretação de Textos,Aspectos Gramaticais,
354,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,"As compared to previous occasions, this year's rise in oil price:",has not had much effect;,has made inflation soar;,has been more sudden;,has been lower than expected;,has been more problematic.,NCE-UFRJ,A,Inglês,Interpretação de Textos,,
355,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,The expression <b>shrug off </b>in the opening question can be replaced by:,value;,disregard;,back;,sustain;,tolerate.,NCE-UFRJ,B,Inglês,Interpretação de Textos,Significado das Palavras,
356,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,The first paragraph begins with a(n):,comparison;,illustration;,complaint;,supposition;,warning.,NCE-UFRJ,D,Inglês,Interpretação de Textos,,
357,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,<b>hence </b>in &quot;hence to economic activity&quot; (l. 19/20) introduces a(n):,condition;,addition;,alternative;,consequence;,contradiction.,NCE-UFRJ,D,Inglês,Aspectos Gramaticais,,
358,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,The last sentence reveals that Americans are:,suffering;,working;,relaxing;,progressing;,perishing.,NCE-UFRJ,A,Inglês,Interpretação de Textos,,
359,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,"O sistema de arquivos, em ambientes UNIX, que não possui &quot;journaling&quot; é:",reiserFS;,ext2;,ext3;,xfs;,jfs.,NCE-UFRJ,B,Sistemas Operacionais,Unix,,
360,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,"Em um sistema UNIX, os i-nodes são:",segmentos de memória não inicializados;,ponteiros para páginas de memória em <i>swap; </i>,arquivos temporários;,metadados contendo informações sobre arquivos e diretórios;,partições de disco.,NCE-UFRJ,D,Sistemas Operacionais,Unix,,
361,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,"Para implementar servidores de correio eletrônico, NÃO podemos usar o software:",sendmail;,Microsoft Exchange;,postfix;,qmail;,bind.,NCE-UFRJ,E,Redes de Computadores,E-mail,,
362,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,"Em uma aplicação em 3 camadas, uma arquitetura muito usada é a denominada:","dados, regras, aplicação","apresentação, dados, modelo","regras, controle, negócio","modelo, visualização, controle","visualização, regras, aplicação",NCE-UFRJ,D,Arquitetura de Software,Sistemas de três camadas,,
363,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,Um dos tipos de formato de mensagem (&quot;payload &quot;) usado pelo IPSEC é denominado: </i>,RIP,ESP,SIP,OH,BGP,NCE-UFRJ,B,Redes de Computadores,Protocolo,,
364,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,A finalidade do protocolo ARP é:,descobrir o endereço MAC de uma estação a partir de seu endereço IP;,descobrir o endereço IP de uma estação a partir de seu endereço MAC;,descobrir o endereço IP de uma estação a partir do seu endereço no nível de transporte;,obter dinamicamente o endereço IP de uma estação;,descobrir o endereço IP do gateway padrão.,NCE-UFRJ,A,Redes de Computadores,Protocolo,,
365,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,Assinale o item que NÃO tem relação com switches nível 2:,uso da tecnologia <i>store-and-forward; </i>,alguns modelos possibilitam empilhamento;,uso do protocolo <i>spanning tree </i>para evitar loops;,uso de protocolo RIP para encaminhamento de pacotes;,realiza segmentação da rede.,NCE-UFRJ,D,Redes de Computadores,Equipamentos de Redes,Protocolo,
366,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,A porta utilizada pelo protocolo DNS para realizar a transferência de zonas é:,tcp/22;,tcp/25;,tcp/53;,udp/22;,udp/53.,NCE-UFRJ,C,Redes de Computadores,Protocolo,,
367,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,"O protocolo FTP, na configuração padrão, utiliza duas portas, a tcp/21 e tcp/20. Esta última é usada para:",envio de comandos e controles para o servidor;,transferência efetiva dos dados;,envio de mensagens de erro por parte do servidor;,permitir autenticação do usuário;,servir como canal alternativo (redundância) para transferência dos dados.,NCE-UFRJ,B,Redes de Computadores,Protocolo,,
368,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,"Em uma estrutura VOIP baseada em H.323, o &quot;gatekeeper&quot; NUNCA realiza a função de:",realizar a tradução entre endereços simbólicos e endereços IP;,controlar a admissão à rede;,sinalizar o controle de chamadas em nome dos terminais;,gerenciar a largura de banda;,fornecer uma conexão entre um ponto na rede local e a rede de comutação de circuitos.,NCE-UFRJ,E,Redes de Computadores,VoIp,,
369,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,O cabeamento UTP categoria 5e é indicado quando temos necessidade de uma rede local com velocidade de até:,10 Mbps;,100 Mbps;,200 Mbps;,1 Gbps;,10 Gbps.,NCE-UFRJ,D,Redes de Computadores,Cabeamento,,
370,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,"Para uma estação obter dinamicamente endereço IP em uma rede local, utilizamos o protocolo:",SLIP,ARP,SNMP,NTP,DHCP,NCE-UFRJ,E,Redes de Computadores,Endereço IP,DHCP,
371,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,"A metodologia OCTAVE, usada para gerenciamento de risco da segurança da informação, tem como característica:",necessitar condução por um especialista;,ter o foco em aspectos tecnológicos;,tratar principalmente de aspectos táticos;,ter como alvo os riscos organizacionais;,não levar em conta os ativos da organização.,NCE-UFRJ,D,Segurança da Informação,"Análise e gerenciamento de Riscos,",,
372,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,"O algoritmo de criptografia que, por definição, trabalha com uma chave de tamanho efetivo de 56 bits é:",3DES,AES,DES,BLOWFISH,IDEA,NCE-UFRJ,C,Algoritmos e Estrutura de Dados,Encriptacao,,
373,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,Uma métrica normalmente usada em planos de recuperação de desastres (retorno à normalidade) é:,ALE,RTO,NPV,ROI,SLE,NCE-UFRJ,B,Governança de TI,Segurança da Informação,,
374,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,A criação de um certificado digital é baseada na tecnologia de:,criptografia assimétrica;,criptografia simétrica;,esteganografia;,One Time Pad;,transposição.,NCE-UFRJ,A,Segurança da Informação,Certificação Digital,,
375,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,Uma vulnerabilidade presente no protocolo TCP/IP é:,permitir que pacotes IP transitem indefinidamente pela rede;,não realizar <i>checksum </i>nos cabeçalhos das mensagens IP;,não garantir integridade das mensagens no protocolo de transporte TCP;,não realizar retransmissões no protocolo de transporte TCP;,não realizar autenticação das mensagens IP recebidas.,NCE-UFRJ,E,Redes de Computadores,Arquitetura TCP/IP,Protocolo,
376,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,Um algoritmo usado para realizar assinaturas digitais é: </i>,RC5,DSA,PEM,El Gammal,XOR,NCE-UFRJ,B,Algoritmos e Estrutura de Dados,Assinatura Digital,,
377,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,"Uma ferramenta de gestão da segurança da informação utilizada para análise de impactos, é:",BIA,OTP,ISMS,BS9977,OLAP,NCE-UFRJ,A,Segurança da Informação,Políticas de Segurança de Informação,,
378,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,"Em relação a IDS e IPS, é correto afirmar que:",IDS é restrito a monitoramento de estações e servidores;,IDS não podem atuar de forma integrada a firewalls;,a tecnologia IPS é considerada como uma evolução da tecnologia IDS;,o problema da ocorrência de falsos positivos foi resolvido com o uso de IPS;,IDS e IPS não podem operar em conjunto.,NCE-UFRJ,C,Segurança da Informação,IDS,IPS,
379,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,"No MS SQL Server, o comando SQL que atualiza corretamente o atributo <i>inscritos </i>na tabela <i>concurso </i>é:",update concurso set inscritos = (select sum(*) from inscrição i where i.id_concurso=concurso.id_concurso),"update concurso set inscritos = isnull(count(inscrição) where i.id_concurso=concurso.id_concurso),0)",update concurso set inscritos = count(inscrição) where i.id_concurso=concurso.id_concurso,"update concurso set inscritos = isnull((select sum(1) from inscrição i where i.id_concurso=concurso.id_concurso),0)",update concurso natural join inscrição set inscritos = count(*),NCE-UFRJ,D,Banco de Dados,Banco de Dados,,
380,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,"<p>A execu&ccedil;&atilde;o do comando SQL </p><p><br />select count(*) <br />from concurso c <br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; left join <br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; (select i.id_concurso,cd.id_candidato<br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp;&nbsp; from inscri&ccedil;&atilde;o i inner join candidato cd <br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; on i.id_candidato=cd.id_candidato) x <br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp;&nbsp; on c.id_concurso=x.id_concurso </p><p>resulta no n&uacute;mero:</p>",40.002,40.005,54.912,55.000,55.002,NCE-UFRJ,E,Banco de Dados,Banco de Dados,Script SQL,SQL
381,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,Suponha que um candidato inscrito no concurso 2 não possa ter inscrições nos demais concursos. O comando que remove as inscrições de outros concursos para os candidatos inscritos no concurso 2 é:,"<br /> delete inscri&ccedil;&atilde;o, inscri&ccedil;&atilde;o ii <br />where <br />&nbsp;&nbsp;&nbsp; inscri&ccedil;&atilde;o.id_candidato=ii.id_candidato <br />&nbsp;&nbsp;&nbsp; and ii.id_concurso=2 and inscri&ccedil;&atilde;o.id_concurso &lt;&gt; 2",<br /> delete inscri&ccedil;&atilde;o <br />where <br />&nbsp;&nbsp;&nbsp; not exists <br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; (select * <br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp;&nbsp; from inscri&ccedil;&atilde;o ii <br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp;&nbsp; where inscri&ccedil;&atilde;o.id_candidato=ii.id_candidato <br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; and ii.id_concurso &lt;&gt; 2) <br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; and inscri&ccedil;&atilde;o.id_concurso &lt;&gt; 2,<br /> delete inscri&ccedil;&atilde;o <br />where <br />exists <br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; (select * <br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp;&nbsp; from inscri&ccedil;&atilde;o ii <br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp;&nbsp; where inscri&ccedil;&atilde;o.id_candidato=ii.id_candidato and <br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; ii.id_concurso=2) <br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp;&nbsp; and inscri&ccedil;&atilde;o.id_concurso &lt;&gt; 2,<br /> delete inscri&ccedil;&atilde;o <br />where<br /> exists <br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; (select * <br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp;&nbsp; from inscri&ccedil;&atilde;o ii <br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp;&nbsp; where inscri&ccedil;&atilde;o.id_candidato=ii.id_candidato <br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; and ii.id_concurso=2 <br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; and inscri&ccedil;&atilde;o.id_concurso = 2 ),<br /> delete inscri&ccedil;&atilde;o <br />from inscri&ccedil;&atilde;o ii <br />where <br />&nbsp;&nbsp;&nbsp; inscri&ccedil;&atilde;o.id_candidato=ii.id_candidato <br />&nbsp;&nbsp;&nbsp; and ii.id_concurso=2 <br />&nbsp;&nbsp;&nbsp; and inscri&ccedil;&atilde;o.id_concurso &lt;&gt; 2,NCE-UFRJ,C,Banco de Dados,SQL,,
382,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,"<p>A chave prim&aacute;ria da tabela <em>candidato </em>foi definida com a op&ccedil;&atilde;o <em>clustered</em>, que provoca a cria&ccedil;&atilde;o de um &iacute;ndice que armazena os pr&oacute;prios registros na &aacute;rvore de indexa&ccedil;&atilde;o. Considere as seguintes afirmativas sobre &iacute;ndices <em>clustered </em>no MS SQL Server: <br /><br />I. S&atilde;o adequados quando os valores usados como chaves indexadoras s&atilde;o freq&uuml;entemente alterados; <br />II. Uma tabela pode ter mais de uma coluna com &iacute;ndices desse tipo; <br />III. As chaves n&atilde;o determinam a ordem f&iacute;sica na qual os registros ficam armazenados. </p><p>Sobre as afirmativas acima, pode-se concluir que:</p>",nenhuma está correta;,somente I está correta;,somente I e II estão corretas;,somente III está correta;,todas estão corretas.,NCE-UFRJ,A,Banco de Dados,Banco de Dados,SQL,
383,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,"Num sistema gerenciador de bancos de dados, o mecanismo de <i>lock </i>(bloqueio) viabiliza a obtenção de uma importante propriedade das transações. Essa propriedade é:",atomicidade;,consistência;,durabilidade;,independência de dados;,isolamento.,NCE-UFRJ,E,Banco de Dados,SGBD - Sistema de Gerenciamento de Banco de Dados,,
384,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,"<p>Considere as seguintes afirmativas sobre seguran&ccedil;a no SQL Server. <br /><br />I. <em>Roles </em>podem ser interpretados como grupos de usu&aacute;rios para os quais as permiss&otilde;es podem ser atribu&iacute;das em bloco. <br />II. Um usu&aacute;rio que n&atilde;o seja DBA (<em>sysadmin</em>) jamais pode atribuir permiss&otilde;es para outros usu&aacute;rios. <br />III. &Eacute; poss&iacute;vel designar permiss&otilde;es para registros completos, mas n&atilde;o para colunas isoladas. </p><p>Sobre as afirmativas, pode-se concluir que:</p>",nenhuma está correta;,somente I está correta;,somente I e II estão corretas;,somente II e III estão corretas;,todas estão corretas.,NCE-UFRJ,B,Banco de Dados,SQL Server,,
385,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,"<p>Considere as seguintes afirmativas sobre modelos de recupera&ccedil;&atilde;o de falhas no MS SQL Server. </p><p>I. O modelo <em>bulk-logged </em>oferece prote&ccedil;&atilde;o mais completa que o modelo <em>simple</em>. <br />II. O modelo de prote&ccedil;&atilde;o escolhido na cria&ccedil;&atilde;o de um banco de dados n&atilde;o pode ser mudado mais tarde. <br />III. Quando um banco de dados &eacute; criado, o modelo <em>default </em>&eacute; o modelo do banco de dados <em>master. <br /></em>IV. Um <em>backup </em>diferencial s&oacute; &eacute; &uacute;til no modelo <em>full</em>. </p><p>Sobre as afirmativas acima, pode-se concluir que</p>",nenhuma está correta;,somente I está correta;,somente I e III estão corretas;,somente II e IV estão corretas;,todas estão corretas.,NCE-UFRJ,B,Banco de Dados,SQL Server,Recuperação de falhas,
386,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,"<p>Considere as seguintes afirmativas sobre <em>stored procedures </em>no &acirc;mbito do MS SQL Server: <br /><br />I. Uma s<em>tored procedure </em>pode receber par&acirc;metros de entrada mas n&atilde;o pode ter par&acirc;metros de sa&iacute;da. <br />II. No corpo de uma s<em>tored procedure </em>n&atilde;o &eacute; poss&iacute;vel chamar outra <em>stored procedure. </em><br />III. Uma <em>stored procedure </em>pode ser executada no servidor onde o banco de dados est&aacute; localizado ou no computador que executa o aplicativo remoto que tem acesso a esse banco, mesmo que neste &uacute;ltimo o SQL Server n&atilde;o esteja instalado. <br />IV. Uma tabela tempor&aacute;ria local criada por uma <em>stored procedure </em>perdura ap&oacute;s o fim desta, sendo removida no final da sess&atilde;o (conex&atilde;o). </p><p>Sobre as afirmativas acima, pode-se concluir que</p>",nenhuma está correta;,somente I e II estão corretas;,somente III está correta;,somente II e IV estão corretas;,todas estão corretas.,NCE-UFRJ,A,Banco de Dados,Microsoft SQL Server,,
387,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,Considere uma árvore binária de busca com <i>n </i>elementos e altura mínima. O tempo de acesso a qualquer elemento desta árvore é da ordem de:,<i>O(n) </i>,<em>O(n<sup>2</sup>) </em>,<em>O(log<sub>2</sub> n) </em>,<em>O(log<sub>10</sub> n) </em>,<em>O(n<sup>n</sup>) </em>,NCE-UFRJ,C,Algoritmos e Estrutura de Dados,Árvores,,
388,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,"<p>Observe as afirma&ccedil;&otilde;es a seguir, a respeito das se&ccedil;&otilde;es <em>interface </em>e <em>implementation </em>nas Units Delphi 7: </p><p>i. vari&aacute;veis declaradas na se&ccedil;&atilde;o <em>interface </em>s&atilde;o globais &agrave; Unit onde elas foram declaradas e a qualquer outra que insira esta Unit na sua cl&aacute;usula uses; </p><p>ii. vari&aacute;veis declaradas na se&ccedil;&atilde;o <em>implementation </em>de uma Unit podem ser usadas apenas na Unit onde foram declaradas; </p><p>iii. o c&oacute;digo dos m&eacute;todos das classes definidas em uma Unit podem ser escritos apenas na se&ccedil;&atilde;o <em>implementation </em>desta mesma Unit; </p><p>iv. as se&ccedil;&otilde;es <em>interface </em>e <em>implementation </em>de uma Unit, se n&atilde;o usadas, podem ser removidas do c&oacute;digo. </p><p>O n&uacute;mero de afirma&ccedil;&otilde;es corretas &eacute;:</p>",0;,1;,2;,3;,4.,NCE-UFRJ,D,Programação,Delphi,,
389,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,"<p>Considere as seguintes afirmativas sobre JSP e servlets: </p><p>i. &eacute; poss&iacute;vel usar uma p&aacute;gina JSP para gerar um arquivo de imagem do tipo JPEG, GIF ou PNG </p><p>ii. um servlet &eacute; executado no servidor, ao passo que uma p&aacute;gina JSP &eacute; executada no browser do cliente </p><p>iii. uma p&aacute;gina gerada por um servlet n&atilde;o pode conter c&oacute;digo javascript </p><p>iv. uma p&aacute;gina JSP &eacute; executada no servidor, enquanto que um servlet &eacute; executado no browser do cliente </p><p>A quantidade de afirmativas corretas &eacute;:</p>",0;,1;,2;,3;,4.,NCE-UFRJ,B,Programação,Java,JSP,
390,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,"A Estrutura Analítica de um projeto (EAP) contém 5 fases. Cada fase, por sua vez, é dividida em 5 etapas onde cada etapa é composta por 5 pacotes de trabalho. O número de produtos de trabalho a serem revisados pela equipe de gerência do projeto é de:",3;,5;,25;,125;,625.,NCE-UFRJ,D,Governança de TI,Estrutura Analítica de Projeto,Estrutura Analitica de Projetos (EAP),
